"X","Y","name"
-60.7931969,-32.9371166,"Intersection 1"
-60.7863371,-32.9443663,"Intersection 2"
-60.7847165,-33.0260911,"Intersection 3"
-60.7842075,-33.0000528,"Intersection 4"
-60.7836038,-32.9077779,"Intersection 5"
-60.7835514,-33.0009708,"Intersection 6"
-60.7834012,-32.9710208,"Intersection 7"
-60.7833554,-33.0028439,"Intersection 8"
-60.7832558,-32.9955378,"Intersection 9"
-60.783244,-32.9207491,"Intersection 10"
-60.7832126,-32.9510727,"Intersection 11"
-60.7832122,-32.9205776,"Intersection 12"
-60.7831804,-32.9289249,"Intersection 13"
-60.7831542,-32.9283363,"Intersection 14"
-60.7831527,-32.9283664,"Intersection 15"
-60.7831523,-32.970781,"Intersection 16"
-60.7831365,-32.9288013,"Intersection 17"
-60.7831117,-32.9242452,"Intersection 18"
-60.7831112,-32.9241946,"Intersection 19"
-60.7831103,-32.9240925,"Intersection 20"
-60.7831093,-32.9239767,"Intersection 21"
-60.7831049,-32.9288813,"Intersection 22"
-60.7831042,-32.9281138,"Intersection 23"
-60.7830987,-32.9283343,"Intersection 24"
-60.7830979,-32.9283668,"Intersection 25"
-60.7830915,-32.9286223,"Intersection 26"
-60.7830901,-32.9286778,"Intersection 27"
-60.7830873,-32.9287899,"Intersection 28"
-60.7830472,-32.9205055,"Intersection 29"
-60.7830401,-33.0016911,"Intersection 30"
-60.7830237,-32.9998279,"Intersection 31"
-60.7830204,-32.931852,"Intersection 32"
-60.7829958,-32.9265771,"Intersection 33"
-60.7829844,-32.9238129,"Intersection 34"
-60.7829613,-32.9286221,"Intersection 35"
-60.7829584,-32.9286719,"Intersection 36"
-60.782943,-32.9475275,"Intersection 37"
-60.7829403,-32.9661307,"Intersection 38"
-60.7829127,-32.9258313,"Intersection 39"
-60.7828957,-32.9046456,"Intersection 40"
-60.7828441,-32.9251236,"Intersection 41"
-60.7828238,-32.9219438,"Intersection 42"
-60.7828109,-32.9218713,"Intersection 43"
-60.7828072,-32.9476422,"Intersection 44"
-60.782788,-32.9661251,"Intersection 45"
-60.7827801,-33.003663,"Intersection 46"
-60.7827644,-32.9242658,"Intersection 47"
-60.7827353,-32.9239997,"Intersection 48"
-60.7827168,-33.0005474,"Intersection 49"
-60.7827089,-32.9286393,"Intersection 50"
-60.7826968,-33.0037737,"Intersection 51"
-60.7826796,-32.921942,"Intersection 52"
-60.7826782,-32.9240032,"Intersection 53"
-60.7826186,-32.9964298,"Intersection 54"
-60.7826111,-32.9491306,"Intersection 55"
-60.7825644,-32.9277016,"Intersection 56"
-60.7825224,-33.0024204,"Intersection 57"
-60.7825212,-32.9288728,"Intersection 58"
-60.7824986,-32.9317676,"Intersection 59"
-60.7824888,-32.9473104,"Intersection 60"
